frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
24.65,-3.36,-8.72,-3.36,-8.73,6.00,5.78,4.90,2.64,2.64,5.37
24.89,-3.27,-8.64,-3.27,-8.64,6.00,5.79,5.03,2.73,2.73,5.37
25.14,-3.18,-8.55,-3.18,-8.55,6.00,5.81,5.16,2.82,2.82,5.37
25.39,-3.09,-8.46,-3.09,-8.46,6.00,5.83,5.29,2.91,2.91,5.37
25.65,-2.99,-8.36,-2.99,-8.36,6.00,5.85,5.43,3.01,3.01,5.37
25.91,-2.90,-8.26,-2.90,-8.26,6.00,5.87,5.56,3.10,3.10,5.36
26.16,-2.80,-8.16,-2.81,-8.16,6.00,5.90,5.70,3.20,3.19,5.36
26.43,-2.71,-8.07,-2.71,-8.07,6.00,5.92,5.83,3.29,3.29,5.36
26.69,-2.62,-7.97,-2.62,-7.98,6.00,5.95,5.96,3.38,3.38,5.36
26.96,-2.52,-7.88,-2.52,-7.88,6.00,5.98,6.09,3.48,3.48,5.36
27.23,-2.43,-7.78,-2.43,-7.78,6.00,6.00,6.22,3.57,3.57,5.35
27.50,-2.33,-7.68,-2.33,-7.68,6.00,6.03,6.34,3.67,3.67,5.35
27.77,-2.24,-7.58,-2.24,-7.58,6.00,6.05,6.46,3.76,3.76,5.34
28.05,-2.15,-7.49,-2.16,-7.49,6.00,6.08,6.58,3.85,3.84,5.34
28.33,-2.08,-7.41,-2.08,-7.41,6.00,6.10,6.68,3.92,3.92,5.33
28.62,-2.01,-7.34,-2.01,-7.34,6.00,6.12,6.79,3.99,3.99,5.33
28.90,-1.94,-7.27,-1.94,-7.27,6.00,6.14,6.88,4.06,4.06,5.33
29.19,-1.87,-7.19,-1.87,-7.19,6.00,6.15,6.97,4.13,4.13,5.32
29.48,-1.80,-7.12,-1.81,-7.12,6.00,6.16,7.05,4.20,4.19,5.32
29.78,-1.74,-7.05,-1.74,-7.05,6.00,6.17,7.12,4.26,4.26,5.31
30.08,-1.67,-6.98,-1.67,-6.97,6.00,6.18,7.17,4.33,4.33,5.31
30.38,-1.59,-6.89,-1.59,-6.89,6.00,6.18,7.22,4.41,4.41,5.30
30.68,-1.51,-6.80,-1.51,-6.80,6.00,6.18,7.25,4.49,4.49,5.30
30.99,-1.43,-6.72,-1.43,-6.72,6.00,6.17,7.27,4.57,4.57,5.29
31.30,-1.36,-6.64,-1.36,-6.64,6.00,6.16,7.28,4.64,4.64,5.28
31.61,-1.29,-6.57,-1.28,-6.56,6.00,6.15,7.28,4.71,4.72,5.28
31.93,-1.21,-6.48,-1.22,-6.49,6.00,6.13,7.26,4.79,4.78,5.27
32.24,-1.17,-6.43,-1.17,-6.44,6.00,6.10,7.24,4.83,4.83,5.26
32.57,-1.13,-6.39,-1.13,-6.38,6.00,6.08,7.19,4.87,4.87,5.26
32.89,-1.09,-6.34,-1.09,-6.34,6.01,6.05,7.15,4.91,4.92,5.25
33.22,-1.04,-6.28,-1.04,-6.28,6.01,6.01,7.08,4.97,4.97,5.24
33.55,-0.98,-6.22,-0.99,-6.22,6.02,5.97,7.02,5.03,5.03,5.24
33.89,-0.93,-6.16,-0.93,-6.16,6.01,5.93,6.94,5.08,5.08,5.23
34.23,-0.88,-6.10,-0.88,-6.10,5.99,5.89,6.85,5.12,5.11,5.22
34.57,-0.83,-6.04,-0.84,-6.05,5.97,5.84,6.75,5.13,5.13,5.21
34.92,-0.79,-5.99,-0.78,-5.98,5.93,5.79,6.66,5.13,5.14,5.20
35.27,-0.72,-5.91,-0.71,-5.90,5.88,5.74,6.55,5.16,5.17,5.19
35.62,-0.62,-5.80,-0.63,-5.81,5.82,5.68,6.44,5.19,5.19,5.18
35.97,-0.53,-5.70,-0.55,-5.72,5.75,5.62,6.32,5.21,5.20,5.17
36.33,-0.48,-5.64,-0.48,-5.64,5.67,5.56,6.21,5.19,5.19,5.16
36.70,-0.43,-5.58,-0.43,-5.57,5.59,5.50,6.09,5.16,5.17,5.15
37.06,-0.38,-5.52,-0.37,-5.51,5.51,5.44,5.97,5.13,5.14,5.14
37.43,-0.30,-5.43,-0.31,-5.44,5.42,5.38,5.85,5.12,5.11,5.13
37.81,-0.24,-5.36,-0.24,-5.36,5.34,5.31,5.73,5.10,5.10,5.12
38.19,-0.17,-5.28,-0.16,-5.27,5.26,5.25,5.61,5.09,5.10,5.11
38.57,-0.08,-5.18,-0.08,-5.18,5.18,5.18,5.49,5.10,5.10,5.10
38.95,0.00,-5.09,-0.00,-5.09,5.09,5.12,5.37,5.10,5.09,5.09
39.34,0.08,-4.99,0.08,-5.00,5.01,5.05,5.25,5.09,5.08,5.07
39.74,0.14,-4.92,0.14,-4.91,4.92,4.99,5.13,5.07,5.07,5.06
40.14,0.21,-4.84,0.21,-4.84,4.84,4.92,5.02,5.05,5.05,5.05
40.54,0.28,-4.76,0.28,-4.76,4.76,4.85,4.91,5.03,5.04,5.04
40.94,0.35,-4.68,0.35,-4.68,4.68,4.79,4.80,5.02,5.02,5.03
41.35,0.42,-4.60,0.42,-4.60,4.60,4.72,4.69,5.02,5.01,5.02
41.76,0.48,-4.53,0.48,-4.52,4.52,4.66,4.59,5.00,5.00,5.01
42.18,0.55,-4.45,0.56,-4.44,4.44,4.59,4.49,5.00,5.00,5.00
42.60,0.64,-4.35,0.63,-4.36,4.36,4.53,4.39,5.00,5.00,4.99
43.03,0.71,-4.27,0.69,-4.28,4.28,4.46,4.30,4.99,4.98,4.98
43.46,0.74,-4.21,0.75,-4.21,4.21,4.40,4.21,4.95,4.95,4.96
43.90,0.78,-4.15,0.80,-4.14,4.13,4.34,4.12,4.92,4.93,4.94
44.33,0.85,-4.07,0.86,-4.06,4.06,4.27,4.04,4.91,4.92,4.92
44.78,0.93,-3.97,0.92,-3.98,3.99,4.21,3.96,4.92,4.91,4.90
45.23,0.98,-3.90,0.97,-3.91,3.92,4.15,3.88,4.90,4.89,4.88
45.68,1.00,-3.87,1.01,-3.86,3.86,4.09,3.80,4.86,4.87,4.87
46.13,1.03,-3.82,1.04,-3.81,3.80,4.03,3.73,4.83,4.84,4.85
46.60,1.08,-3.75,1.08,-3.76,3.75,3.96,3.66,4.83,4.83,4.84
47.06,1.13,-3.69,1.12,-3.70,3.70,3.90,3.59,4.83,4.82,4.82
47.53,1.14,-3.66,1.15,-3.66,3.67,3.84,3.53,4.81,4.81,4.80
48.01,1.16,-3.63,1.16,-3.62,3.63,3.78,3.47,4.80,4.79,4.79
48.49,1.16,-3.60,1.16,-3.60,3.61,3.72,3.41,4.76,4.76,4.76
48.97,1.15,-3.58,1.14,-3.59,3.59,3.66,3.35,4.73,4.73,4.73
49.46,1.12,-3.58,1.12,-3.58,3.57,3.60,3.30,4.69,4.69,4.70
49.96,1.10,-3.57,1.11,-3.56,3.56,3.54,3.25,4.66,4.67,4.67
50.46,1.11,-3.54,1.11,-3.54,3.55,3.48,3.20,4.66,4.66,4.65
50.96,1.12,-3.51,1.09,-3.53,3.53,3.42,3.15,4.65,4.63,4.63
51.47,1.08,-3.52,1.08,-3.53,3.52,3.36,3.11,4.60,4.59,4.60
51.99,1.03,-3.55,1.06,-3.52,3.50,3.30,3.06,4.53,4.56,4.58
52.51,1.06,-3.50,1.06,-3.49,3.47,3.24,3.02,4.54,4.54,4.56
53.03,1.10,-3.44,1.08,-3.45,3.45,3.18,2.97,4.55,4.53,4.54
53.56,1.10,-3.41,1.10,-3.41,3.43,3.12,2.93,4.53,4.53,4.51
54.10,1.11,-3.38,1.11,-3.38,3.40,3.06,2.89,4.51,4.51,4.49
54.64,1.10,-3.36,1.10,-3.36,3.38,2.99,2.85,4.47,4.47,4.46
55.18,1.09,-3.35,1.09,-3.35,3.35,2.93,2.81,4.44,4.44,4.44
55.74,1.08,-3.33,1.09,-3.33,3.32,2.87,2.77,4.40,4.41,4.41
56.29,1.09,-3.30,1.09,-3.30,3.29,2.80,2.73,4.38,4.39,4.39
56.86,1.11,-3.26,1.10,-3.26,3.26,2.74,2.69,4.37,4.36,4.37
57.42,1.12,-3.22,1.12,-3.23,3.22,2.67,2.65,4.34,4.34,4.34
58.00,1.13,-3.19,1.14,-3.18,3.17,2.61,2.60,4.30,4.31,4.32
58.58,1.17,-3.13,1.17,-3.12,3.12,2.54,2.56,4.29,4.29,4.30
59.16,1.23,-3.05,1.23,-3.05,3.05,2.47,2.51,4.28,4.28,4.28
59.76,1.30,-2.96,1.29,-2.97,2.97,2.40,2.47,4.27,4.27,4.26
60.35,1.35,-2.88,1.34,-2.89,2.89,2.33,2.42,4.24,4.23,4.23
60.96,1.39,-2.81,1.38,-2.81,2.80,2.26,2.37,4.19,4.18,4.20
61.57,1.43,-2.73,1.45,-2.72,2.71,2.19,2.31,4.14,4.15,4.16
62.18,1.50,-2.63,1.53,-2.60,2.61,2.11,2.26,4.11,4.14,4.13
62.80,1.65,-2.45,1.60,-2.49,2.51,2.04,2.20,4.15,4.11,4.10
63.43,1.69,-2.37,1.68,-2.39,2.40,1.96,2.14,4.10,4.08,4.07
64.07,1.71,-2.33,1.76,-2.29,2.29,1.88,2.08,4.00,4.05,4.04
64.71,1.83,-2.18,1.82,-2.19,2.18,1.80,2.01,4.01,4.00,4.02
65.35,1.93,-2.06,1.91,-2.08,2.06,1.72,1.94,3.99,3.97,3.99
66.01,2.01,-1.95,2.02,-1.94,1.94,1.64,1.87,3.95,3.96,3.96
66.67,2.11,-1.82,2.11,-1.81,1.82,1.56,1.80,3.93,3.93,3.93
67.33,2.22,-1.68,2.22,-1.68,1.69,1.47,1.73,3.91,3.91,3.90
68.01,2.33,-1.54,2.32,-1.55,1.56,1.39,1.65,3.89,3.88,3.87
68.69,2.41,-1.43,2.41,-1.43,1.43,1.30,1.57,3.84,3.84,3.84
69.37,2.51,-1.30,2.51,-1.30,1.29,1.21,1.49,3.80,3.80,3.81
70.07,2.61,-1.17,2.61,-1.17,1.16,1.11,1.41,3.76,3.76,3.78
70.77,2.72,-1.02,2.72,-1.03,1.02,1.02,1.33,3.74,3.74,3.75
71.48,2.83,-0.89,2.83,-0.88,0.88,0.92,1.24,3.71,3.71,3.72
72.19,2.95,-0.73,2.95,-0.73,0.74,0.83,1.15,3.68,3.68,3.68
72.91,3.06,-0.59,3.06,-0.59,0.60,0.73,1.07,3.66,3.66,3.65
73.64,3.17,-0.44,3.17,-0.44,0.46,0.62,0.98,3.63,3.63,3.61
74.38,3.27,-0.31,3.26,-0.31,0.32,0.52,0.89,3.59,3.58,3.58
75.12,3.35,-0.19,3.35,-0.19,0.19,0.42,0.79,3.54,3.54,3.54
75.87,3.43,-0.08,3.44,-0.07,0.06,0.31,0.70,3.49,3.50,3.51
76.63,3.55,0.07,3.54,0.06,-0.07,0.20,0.61,3.48,3.47,3.48
77.40,3.64,0.19,3.64,0.19,-0.19,0.09,0.51,3.45,3.45,3.45
78.17,3.73,0.32,3.73,0.31,-0.31,-0.02,0.42,3.42,3.42,3.41
78.95,3.81,0.43,3.81,0.43,-0.43,-0.14,0.32,3.39,3.38,3.38
79.74,3.89,0.54,3.89,0.55,-0.55,-0.25,0.23,3.34,3.35,3.35
80.54,3.98,0.67,3.98,0.66,-0.67,-0.37,0.13,3.31,3.30,3.31
81.35,4.06,0.78,4.06,0.79,-0.79,-0.49,0.03,3.27,3.27,3.28
82.16,4.15,0.91,4.15,0.90,-0.92,-0.61,-0.07,3.23,3.23,3.24
82.98,4.24,1.03,4.23,1.03,-1.04,-0.73,-0.17,3.19,3.19,3.21
83.81,4.32,1.15,4.33,1.17,-1.16,-0.85,-0.27,3.15,3.17,3.17
84.65,4.44,1.31,4.43,1.29,-1.28,-0.97,-0.37,3.16,3.15,3.13
85.50,4.52,1.43,4.50,1.41,-1.39,-1.09,-0.47,3.14,3.11,3.10
86.35,4.55,1.50,4.57,1.52,-1.49,-1.21,-0.57,3.06,3.08,3.06
87.22,4.61,1.59,4.62,1.60,-1.60,-1.34,-0.68,3.01,3.03,3.02
88.09,4.69,1.72,4.66,1.68,-1.69,-1.46,-0.78,3.00,2.96,2.98
88.97,4.69,1.75,4.70,1.76,-1.79,-1.58,-0.89,2.90,2.92,2.94
89.86,4.73,1.84,4.76,1.86,-1.87,-1.70,-0.99,2.86,2.88,2.90
90.76,4.82,1.97,4.81,1.96,-1.96,-1.82,-1.10,2.86,2.85,2.85
91.66,4.89,2.08,4.87,2.07,-2.05,-1.94,-1.20,2.84,2.82,2.81
92.58,4.92,2.16,4.92,2.15,-2.14,-2.05,-1.31,2.77,2.77,2.76
93.51,4.94,2.22,4.95,2.23,-2.24,-2.16,-1.42,2.70,2.71,2.72
94.44,4.98,2.30,4.98,2.31,-2.34,-2.27,-1.53,2.64,2.65,2.68
95.39,5.04,2.41,5.03,2.40,-2.43,-2.38,-1.64,2.61,2.60,2.63
96.34,5.08,2.50,5.09,2.51,-2.51,-2.48,-1.75,2.57,2.59,2.58
97.30,5.15,2.62,5.15,2.62,-2.58,-2.59,-1.85,2.56,2.57,2.53
98.28,5.20,2.72,5.18,2.70,-2.66,-2.68,-1.96,2.54,2.52,2.48
99.26,5.19,2.75,5.18,2.74,-2.73,-2.77,-2.08,2.46,2.45,2.44
100.25,5.14,2.76,5.16,2.77,-2.80,-2.86,-2.19,2.35,2.37,2.39
101.25,5.14,2.80,5.15,2.82,-2.86,-2.94,-2.30,2.28,2.30,2.34
102.27,5.18,2.89,5.18,2.89,-2.91,-3.01,-2.40,2.27,2.27,2.29
103.29,5.21,2.97,5.21,2.96,-2.95,-3.09,-2.51,2.26,2.26,2.24
104.32,5.23,3.03,5.21,3.02,-2.99,-3.15,-2.62,2.24,2.22,2.20
105.37,5.20,3.05,5.20,3.05,-3.03,-3.21,-2.73,2.17,2.17,2.15
106.42,5.15,3.05,5.17,3.07,-3.06,-3.26,-2.83,2.09,2.11,2.10
107.48,5.14,3.09,5.14,3.09,-3.09,-3.31,-2.93,2.04,2.04,2.05
108.56,5.13,3.13,5.11,3.11,-3.12,-3.35,-3.03,2.01,1.99,2.00
109.64,5.07,3.13,5.09,3.14,-3.14,-3.39,-3.13,1.93,1.94,1.95
110.74,5.05,3.15,5.05,3.16,-3.16,-3.42,-3.22,1.89,1.89,1.90
111.85,5.03,3.18,5.03,3.18,-3.19,-3.45,-3.31,1.84,1.83,1.85
112.97,5.00,3.22,5.01,3.21,-3.22,-3.47,-3.40,1.78,1.79,1.79
114.10,4.98,3.25,4.98,3.25,-3.25,-3.48,-3.48,1.74,1.73,1.74
115.24,4.96,3.28,4.96,3.28,-3.28,-3.49,-3.56,1.68,1.69,1.68
116.39,4.94,3.31,4.94,3.31,-3.30,-3.50,-3.63,1.64,1.64,1.63
117.55,4.91,3.35,4.91,3.33,-3.32,-3.51,-3.69,1.59,1.58,1.57
118.73,4.86,3.35,4.88,3.36,-3.34,-3.51,-3.75,1.52,1.53,1.52
119.92,4.83,3.37,4.84,3.37,-3.36,-3.50,-3.80,1.47,1.48,1.47
121.12,4.82,3.40,4.79,3.37,-3.38,-3.50,-3.85,1.44,1.41,1.42
122.33,4.73,3.37,4.75,3.38,-3.39,-3.49,-3.88,1.34,1.36,1.37
123.55,4.69,3.37,4.72,3.40,-3.41,-3.48,-3.91,1.27,1.30,1.32
124.79,4.72,3.45,4.69,3.42,-3.44,-3.47,-3.93,1.28,1.25,1.27
126.03,4.68,3.46,4.67,3.45,-3.46,-3.45,-3.95,1.22,1.21,1.22
127.29,4.65,3.48,4.65,3.49,-3.49,-3.44,-3.95,1.16,1.16,1.17
128.57,4.61,3.51,4.63,3.52,-3.51,-3.42,-3.95,1.10,1.12,1.11
129.85,4.62,3.56,4.61,3.56,-3.53,-3.40,-3.94,1.09,1.08,1.06
131.15,4.60,3.59,4.58,3.57,-3.55,-3.39,-3.93,1.05,1.03,1.01
132.46,4.52,3.57,4.53,3.56,-3.55,-3.37,-3.90,0.97,0.97,0.96
133.79,4.44,3.52,4.47,3.55,-3.55,-3.35,-3.88,0.89,0.92,0.92
135.12,4.41,3.54,4.40,3.53,-3.55,-3.33,-3.84,0.86,0.86,0.87
136.48,4.37,3.54,4.34,3.52,-3.54,-3.31,-3.80,0.83,0.81,0.83
137.84,4.27,3.49,4.29,3.51,-3.52,-3.29,-3.76,0.75,0.77,0.78
139.22,4.22,3.49,4.23,3.50,-3.50,-3.27,-3.71,0.71,0.73,0.73
140.61,4.19,3.50,4.18,3.49,-3.48,-3.24,-3.65,0.70,0.70,0.69
142.02,4.16,3.50,4.13,3.48,-3.46,-3.22,-3.60,0.69,0.67,0.66
143.44,4.06,3.45,4.07,3.45,-3.44,-3.20,-3.54,0.62,0.62,0.62
144.87,3.97,3.39,3.99,3.41,-3.42,-3.18,-3.48,0.55,0.57,0.58
146.32,3.91,3.37,3.91,3.37,-3.39,-3.15,-3.41,0.52,0.52,0.54
147.78,3.85,3.34,3.85,3.34,-3.35,-3.13,-3.34,0.50,0.50,0.51
149.26,3.79,3.32,3.78,3.31,-3.31,-3.11,-3.28,0.48,0.48,0.47
150.75,3.70,3.27,3.70,3.27,-3.25,-3.08,-3.21,0.44,0.45,0.43
152.26,3.60,3.21,3.60,3.21,-3.19,-3.05,-3.14,0.41,0.41,0.39
153.78,3.48,3.14,3.49,3.14,-3.12,-3.03,-3.07,0.36,0.37,0.35
155.32,3.37,3.06,3.36,3.06,-3.05,-3.00,-3.00,0.33,0.32,0.31
156.88,3.24,2.97,3.23,2.96,-2.96,-2.97,-2.93,0.27,0.27,0.27
158.44,3.09,2.86,3.10,2.87,-2.87,-2.93,-2.86,0.22,0.22,0.23
160.03,2.96,2.78,2.97,2.78,-2.79,-2.90,-2.79,0.18,0.18,0.19
161.63,2.85,2.70,2.85,2.70,-2.71,-2.86,-2.73,0.14,0.14,0.15
163.24,2.75,2.64,2.74,2.63,-2.64,-2.83,-2.66,0.10,0.10,0.11
164.88,2.65,2.57,2.64,2.57,-2.59,-2.79,-2.60,0.06,0.06,0.08
166.53,2.55,2.51,2.56,2.52,-2.54,-2.75,-2.54,0.01,0.02,0.04
168.19,2.50,2.50,2.50,2.50,-2.51,-2.71,-2.48,-0.01,-0.01,-0.00
169.87,2.45,2.49,2.45,2.49,-2.48,-2.66,-2.42,-0.03,-0.03,-0.04
171.57,2.41,2.49,2.40,2.48,-2.45,-2.62,-2.36,-0.04,-0.05,-0.08
173.29,2.33,2.45,2.34,2.45,-2.44,-2.57,-2.30,-0.10,-0.10,-0.11
175.02,2.27,2.42,2.26,2.42,-2.42,-2.53,-2.25,-0.15,-0.15,-0.15
176.77,2.19,2.38,2.20,2.39,-2.40,-2.48,-2.20,-0.22,-0.21,-0.19
178.54,2.14,2.37,2.14,2.37,-2.38,-2.43,-2.15,-0.24,-0.24,-0.23
180.32,2.09,2.36,2.08,2.35,-2.36,-2.38,-2.10,-0.27,-0.28,-0.27
182.13,2.03,2.33,2.03,2.34,-2.33,-2.33,-2.05,-0.30,-0.30,-0.30
183.95,1.96,2.30,1.97,2.31,-2.30,-2.28,-2.00,-0.34,-0.32,-0.34
185.79,1.92,2.29,1.90,2.28,-2.26,-2.23,-1.96,-0.34,-0.36,-0.37
187.65,1.83,2.24,1.82,2.23,-2.22,-2.18,-1.92,-0.39,-0.40,-0.41
189.52,1.72,2.16,1.73,2.17,-2.17,-2.12,-1.88,-0.45,-0.44,-0.44
191.42,1.63,2.10,1.64,2.11,-2.12,-2.07,-1.84,-0.49,-0.48,-0.47
193.33,1.56,2.06,1.55,2.05,-2.06,-2.02,-1.80,-0.50,-0.51,-0.50
195.27,1.46,1.99,1.46,2.00,-1.99,-1.97,-1.77,-0.53,-0.53,-0.53
197.22,1.37,1.93,1.37,1.93,-1.92,-1.92,-1.73,-0.55,-0.55,-0.56
199.19,1.28,1.87,1.27,1.86,-1.85,-1.87,-1.70,-0.57,-0.58,-0.59
201.18,1.16,1.77,1.17,1.78,-1.79,-1.82,-1.67,-0.62,-0.62,-0.61
203.19,1.07,1.70,1.07,1.70,-1.72,-1.77,-1.64,-0.65,-0.65,-0.63
205.23,0.98,1.63,0.99,1.64,-1.65,-1.72,-1.61,-0.67,-0.66,-0.65
207.28,0.92,1.58,0.91,1.58,-1.58,-1.67,-1.58,-0.66,-0.67,-0.66
209.35,0.85,1.53,0.84,1.52,-1.51,-1.62,-1.55,-0.67,-0.68,-0.68
211.44,0.76,1.46,0.77,1.46,-1.45,-1.58,-1.53,-0.69,-0.68,-0.70
213.56,0.68,1.39,0.68,1.39,-1.39,-1.53,-1.50,-0.71,-0.70,-0.71
215.69,0.62,1.33,0.60,1.32,-1.30,-1.48,-1.48,-0.68,-0.70,-0.71
217.85,0.51,1.23,0.53,1.26,-1.22,-1.44,-1.46,-0.70,-0.68,-0.72
220.03,0.47,1.20,0.47,1.20,-1.14,-1.40,-1.43,-0.67,-0.67,-0.73
222.23,0.43,1.17,0.41,1.15,-1.10,-1.36,-1.41,-0.67,-0.69,-0.74
224.45,0.35,1.09,0.35,1.09,-1.09,-1.31,-1.39,-0.74,-0.74,-0.74
226.70,0.27,1.01,0.28,1.03,-1.16,-1.27,-1.37,-0.89,-0.88,-0.74
228.96,0.22,0.97,0.23,0.97,-1.31,-1.23,-1.35,-1.09,-1.08,-0.74
231.25,0.19,0.92,0.17,0.91,-1.52,-1.20,-1.33,-1.33,-1.35,-0.73
233.57,0.13,0.86,-0.30,0.43,-1.61,-1.16,-1.31,-1.48,-1.91,-0.73
235.90,0.05,0.78,0.71,1.44,-1.65,-1.12,-1.28,-1.60,-0.94,-0.73
238.26,0.04,0.76,1.30,2.02,-1.63,-1.09,-1.26,-1.59,-0.33,-0.72
240.64,4.44,5.15,1.47,2.19,-1.57,-1.05,-1.24,2.87,-0.09,-0.71
243.05,-0.04,0.66,1.23,1.93,-1.44,-1.02,-1.22,-1.48,-0.22,-0.70
245.48,-0.09,0.60,0.55,1.24,-1.26,-0.98,-1.20,-1.36,-0.72,-0.69
247.93,-0.13,0.55,-0.54,0.14,-1.03,-0.95,-1.18,-1.16,-1.57,-0.68
250.41,-0.15,0.52,-0.15,0.51,-0.78,-0.92,-1.15,-0.93,-0.93,-0.67
252.92,-0.18,0.47,-0.19,0.47,-0.54,-0.89,-1.13,-0.72,-0.73,-0.65
255.45,-0.23,0.40,-0.23,0.41,-0.34,-0.86,-1.11,-0.57,-0.57,-0.63
258.00,-0.28,0.34,-0.27,0.35,-0.21,-0.83,-1.08,-0.48,-0.48,-0.62
260.58,-0.32,0.28,-0.32,0.28,-0.15,-0.80,-1.06,-0.48,-0.48,-0.60
263.19,-0.36,0.22,-0.37,0.21,-0.16,-0.77,-1.04,-0.52,-0.53,-0.58
265.82,-0.42,0.14,-0.41,0.15,-0.17,-0.74,-1.01,-0.59,-0.58,-0.56
268.48,-0.46,0.08,-0.46,0.08,-0.08,-0.72,-0.99,-0.54,-0.54,-0.54
271.16,-0.50,0.03,-0.49,0.03,-0.04,-0.69,-0.96,-0.54,-0.54,-0.52
273.87,-0.51,-0.01,-0.51,-0.01,-0.02,-0.66,-0.94,-0.53,-0.53,-0.50
276.61,-0.49,-0.00,-0.49,-0.01,-0.02,-0.64,-0.91,-0.50,-0.50,-0.48
279.38,-0.45,0.01,-0.44,0.02,-0.04,-0.61,-0.88,-0.49,-0.47,-0.46
282.17,-0.34,0.10,-0.36,0.08,-0.08,-0.59,-0.86,-0.42,-0.44,-0.44
284.99,-0.28,0.14,-0.27,0.15,-0.15,-0.56,-0.83,-0.43,-0.42,-0.42
287.84,-0.17,0.24,-0.17,0.23,-0.24,-0.54,-0.80,-0.41,-0.41,-0.40
290.72,-0.07,0.32,-0.06,0.32,-0.35,-0.52,-0.78,-0.42,-0.41,-0.38
293.63,0.07,0.43,0.08,0.44,-0.47,-0.50,-0.75,-0.41,-0.39,-0.36
296.57,0.24,0.58,0.23,0.58,-0.59,-0.47,-0.72,-0.35,-0.36,-0.34
299.53,0.40,0.72,0.40,0.72,-0.70,-0.45,-0.69,-0.30,-0.30,-0.32
302.53,0.55,0.86,0.55,0.85,-0.79,-0.43,-0.67,-0.24,-0.24,-0.30
305.55,0.67,0.94,0.66,0.94,-0.87,-0.41,-0.64,-0.20,-0.21,-0.27
308.61,0.73,0.99,0.73,0.98,-0.93,-0.39,-0.61,-0.20,-0.20,-0.25
311.69,0.76,0.99,0.76,0.98,-0.98,-0.37,-0.59,-0.21,-0.21,-0.22
314.81,0.78,0.97,0.78,0.97,-1.00,-0.35,-0.56,-0.23,-0.22,-0.19
317.96,0.79,0.96,0.80,0.97,-1.01,-0.33,-0.53,-0.22,-0.21,-0.17
321.14,0.83,0.98,0.83,0.98,-1.01,-0.31,-0.51,-0.18,-0.18,-0.15
324.35,0.87,1.00,0.86,0.99,-1.00,-0.29,-0.48,-0.13,-0.14,-0.13
327.59,0.89,1.00,0.89,1.00,-0.99,-0.27,-0.46,-0.10,-0.10,-0.11
330.87,0.90,0.99,0.90,0.99,-0.98,-0.25,-0.43,-0.08,-0.08,-0.09
334.18,0.90,0.97,0.90,0.98,-0.96,-0.24,-0.41,-0.06,-0.06,-0.07
337.52,0.89,0.95,0.90,0.95,-0.94,-0.22,-0.38,-0.04,-0.04,-0.05
340.90,0.89,0.92,0.88,0.91,-0.90,-0.20,-0.36,-0.01,-0.02,-0.03
344.30,0.85,0.86,0.85,0.86,-0.86,-0.18,-0.33,-0.01,-0.01,-0.01
347.75,0.81,0.80,0.81,0.80,-0.81,-0.16,-0.31,-0.00,0.00,0.01
351.23,0.77,0.74,0.77,0.74,-0.75,-0.15,-0.28,0.02,0.02,0.03
354.74,0.73,0.68,0.74,0.69,-0.69,-0.13,-0.26,0.04,0.05,0.05
