frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
40.14,-0.42,-5.41,-0.44,-5.43,5.48,5.35,5.06,5.07,5.04,4.99
40.54,-0.38,-5.36,-0.38,-5.36,5.35,5.27,4.93,4.97,4.97,4.98
40.94,-0.34,-5.31,-0.31,-5.28,5.22,5.18,4.80,4.88,4.91,4.97
41.35,-0.22,-5.18,-0.22,-5.18,5.10,5.09,4.67,4.88,4.88,4.96
41.76,-0.08,-5.03,-0.09,-5.04,5.00,5.00,4.54,4.92,4.91,4.95
42.18,0.06,-4.88,0.10,-4.84,4.90,4.90,4.42,4.97,5.00,4.94
42.60,0.25,-4.69,0.24,-4.69,4.80,4.80,4.30,5.04,5.04,4.93
43.03,0.39,-4.53,0.30,-4.62,4.69,4.70,4.19,5.08,4.99,4.92
43.46,0.29,-4.61,0.29,-4.61,4.59,4.60,4.07,4.88,4.87,4.90
43.90,0.19,-4.69,0.31,-4.58,4.49,4.50,3.96,4.69,4.80,4.88
44.33,0.37,-4.49,0.39,-4.46,4.40,4.40,3.86,4.77,4.80,4.86
44.78,0.61,-4.23,0.54,-4.30,4.32,4.29,3.75,4.93,4.86,4.84
45.23,0.71,-4.11,0.66,-4.17,4.22,4.19,3.65,4.93,4.87,4.82
45.68,0.67,-4.14,0.71,-4.10,4.11,4.08,3.55,4.78,4.81,4.81
46.13,0.70,-4.09,0.76,-4.04,3.98,3.97,3.46,4.68,4.74,4.79
46.60,0.87,-3.91,0.86,-3.92,3.86,3.87,3.36,4.74,4.72,4.78
47.06,1.03,-3.73,1.02,-3.75,3.76,3.76,3.27,4.79,4.78,4.76
47.53,1.14,-3.60,1.15,-3.59,3.67,3.66,3.19,4.81,4.82,4.74
48.01,1.25,-3.48,1.23,-3.50,3.57,3.55,3.10,4.83,4.80,4.73
48.49,1.25,-3.45,1.26,-3.44,3.48,3.45,3.02,4.73,4.74,4.70
48.97,1.26,-3.41,1.26,-3.42,3.38,3.34,2.94,4.64,4.64,4.67
49.46,1.27,-3.37,1.27,-3.37,3.29,3.24,2.86,4.57,4.56,4.64
49.96,1.29,-3.32,1.37,-3.24,3.21,3.14,2.78,4.51,4.59,4.61
50.46,1.50,-3.09,1.51,-3.08,3.12,3.03,2.71,4.62,4.63,4.59
50.96,1.72,-2.85,1.59,-2.97,3.00,2.93,2.64,4.72,4.59,4.57
51.47,1.66,-2.88,1.65,-2.89,2.86,2.83,2.57,4.52,4.51,4.54
51.99,1.58,-2.94,1.73,-2.79,2.71,2.73,2.50,4.30,4.45,4.52
52.51,1.86,-2.64,1.86,-2.64,2.57,2.64,2.44,4.43,4.43,4.50
53.03,2.14,-2.34,2.07,-2.41,2.44,2.54,2.37,4.58,4.51,4.48
53.56,2.24,-2.21,2.25,-2.20,2.32,2.44,2.31,4.56,4.57,4.45
54.10,2.33,-2.10,2.31,-2.11,2.21,2.35,2.25,4.54,4.52,4.43
54.64,2.31,-2.09,2.33,-2.08,2.10,2.26,2.19,4.42,4.43,4.40
55.18,2.32,-2.06,2.35,-2.03,2.01,2.17,2.14,4.33,4.36,4.38
55.74,2.38,-1.97,2.38,-1.97,1.93,2.08,2.08,4.31,4.31,4.35
56.29,2.45,-1.88,2.45,-1.88,1.85,1.99,2.02,4.30,4.29,4.33
56.86,2.51,-1.80,2.52,-1.79,1.77,1.90,1.97,4.28,4.28,4.31
57.42,2.58,-1.70,2.58,-1.71,1.68,1.82,1.92,4.27,4.26,4.28
58.00,2.64,-1.62,2.64,-1.62,1.60,1.74,1.86,4.24,4.24,4.26
58.58,2.71,-1.53,2.73,-1.51,1.51,1.66,1.81,4.22,4.24,4.24
59.16,2.81,-1.41,2.84,-1.38,1.42,1.58,1.76,4.23,4.26,4.22
59.76,2.97,-1.23,2.94,-1.26,1.33,1.50,1.71,4.31,4.27,4.20
60.35,3.00,-1.17,2.96,-1.21,1.25,1.43,1.66,4.26,4.22,4.17
60.96,2.93,-1.21,2.90,-1.23,1.18,1.36,1.61,4.12,4.09,4.14
61.57,2.83,-1.27,2.91,-1.19,1.13,1.29,1.56,3.96,4.04,4.10
62.18,2.88,-1.20,3.00,-1.07,1.07,1.22,1.51,3.94,4.07,4.07
62.80,3.24,-0.80,3.04,-1.00,1.01,1.16,1.46,4.25,4.05,4.04
63.43,3.14,-0.87,3.08,-0.93,0.95,1.09,1.42,4.10,4.03,4.01
64.07,2.90,-1.09,3.09,-0.89,0.89,1.03,1.37,3.79,3.99,3.98
64.71,3.11,-0.85,3.08,-0.88,0.83,0.98,1.32,3.94,3.91,3.96
65.35,3.21,-0.72,3.15,-0.78,0.77,0.92,1.27,3.98,3.91,3.93
66.01,3.21,-0.69,3.23,-0.67,0.72,0.87,1.22,3.93,3.95,3.90
66.67,3.21,-0.66,3.22,-0.65,0.67,0.82,1.18,3.89,3.90,3.87
67.33,3.21,-0.63,3.21,-0.63,0.63,0.77,1.13,3.85,3.85,3.84
68.01,3.21,-0.60,3.21,-0.60,0.60,0.72,1.08,3.81,3.81,3.81
68.69,3.21,-0.57,3.21,-0.57,0.56,0.68,1.03,3.77,3.77,3.78
69.37,3.21,-0.54,3.21,-0.54,0.53,0.63,0.99,3.74,3.74,3.75
70.07,3.21,-0.51,3.21,-0.51,0.50,0.59,0.94,3.72,3.72,3.72
70.77,3.21,-0.48,3.21,-0.48,0.47,0.55,0.89,3.69,3.69,3.69
71.48,3.21,-0.45,3.21,-0.44,0.44,0.52,0.84,3.65,3.65,3.66
72.19,3.21,-0.41,3.21,-0.41,0.40,0.48,0.80,3.61,3.61,3.62
72.91,3.21,-0.38,3.21,-0.37,0.36,0.45,0.75,3.58,3.58,3.59
73.64,3.21,-0.34,3.21,-0.34,0.33,0.41,0.70,3.55,3.55,3.55
74.38,3.21,-0.31,3.22,-0.30,0.31,0.38,0.66,3.52,3.52,3.52
75.12,3.21,-0.27,3.22,-0.27,0.29,0.35,0.61,3.50,3.51,3.48
75.87,3.21,-0.24,3.20,-0.25,0.28,0.32,0.56,3.49,3.48,3.45
76.63,3.17,-0.25,3.17,-0.25,0.27,0.29,0.51,3.44,3.44,3.42
77.40,3.12,-0.27,3.12,-0.26,0.27,0.26,0.47,3.39,3.39,3.39
78.17,3.07,-0.28,3.07,-0.29,0.27,0.23,0.42,3.34,3.34,3.35
78.95,3.01,-0.31,3.03,-0.29,0.27,0.21,0.37,3.28,3.30,3.32
79.74,3.01,-0.28,3.01,-0.28,0.25,0.18,0.33,3.27,3.27,3.29
80.54,3.01,-0.24,3.01,-0.25,0.23,0.15,0.28,3.24,3.24,3.25
81.35,3.01,-0.21,3.01,-0.20,0.19,0.13,0.23,3.20,3.20,3.22
82.16,3.01,-0.17,3.00,-0.18,0.14,0.10,0.18,3.15,3.14,3.18
82.98,3.01,-0.14,3.02,-0.12,0.09,0.07,0.14,3.10,3.11,3.15
83.81,3.01,-0.10,3.07,-0.04,0.06,0.04,0.09,3.07,3.13,3.11
84.65,3.15,0.08,3.10,0.03,0.04,0.02,0.04,3.19,3.14,3.07
85.50,3.13,0.09,3.09,0.05,0.04,-0.01,-0.01,3.17,3.13,3.04
86.35,2.99,-0.01,3.05,0.05,0.05,-0.04,-0.06,3.04,3.10,3.00
87.22,2.91,-0.05,2.92,-0.04,0.06,-0.07,-0.11,2.97,2.98,2.96
88.09,2.88,-0.04,2.77,-0.15,0.07,-0.10,-0.15,2.95,2.84,2.92
88.97,2.60,-0.28,2.69,-0.19,0.09,-0.13,-0.20,2.69,2.78,2.88
89.86,2.59,-0.25,2.68,-0.16,0.11,-0.15,-0.25,2.70,2.78,2.84
90.76,2.76,-0.03,2.70,-0.09,0.10,-0.19,-0.30,2.86,2.80,2.79
91.66,2.81,0.06,2.74,-0.00,0.06,-0.22,-0.35,2.87,2.80,2.75
92.58,2.72,0.02,2.74,0.03,-0.02,-0.25,-0.40,2.70,2.71,2.70
93.51,2.65,-0.01,2.73,0.07,-0.13,-0.28,-0.45,2.52,2.59,2.66
94.44,2.76,0.14,2.76,0.14,-0.25,-0.31,-0.50,2.52,2.51,2.62
95.39,2.91,0.34,2.86,0.28,-0.33,-0.35,-0.55,2.58,2.52,2.57
96.34,2.94,0.42,3.00,0.48,-0.40,-0.38,-0.60,2.55,2.61,2.52
97.30,3.07,0.60,3.11,0.64,-0.45,-0.42,-0.65,2.62,2.66,2.47
98.28,3.20,0.78,3.10,0.67,-0.52,-0.45,-0.71,2.69,2.58,2.42
99.26,3.05,0.67,2.98,0.60,-0.59,-0.49,-0.76,2.47,2.39,2.38
100.25,2.72,0.39,2.83,0.50,-0.65,-0.52,-0.81,2.07,2.18,2.33
101.25,2.67,0.39,2.76,0.48,-0.70,-0.56,-0.86,1.97,2.06,2.28
102.27,2.88,0.65,2.86,0.63,-0.73,-0.60,-0.91,2.15,2.12,2.23
103.29,3.05,0.87,3.03,0.85,-0.76,-0.64,-0.96,2.30,2.27,2.18
104.32,3.16,1.02,3.09,0.95,-0.78,-0.67,-1.01,2.38,2.31,2.14
105.37,3.04,0.95,3.03,0.94,-0.82,-0.71,-1.06,2.22,2.21,2.09
106.42,2.85,0.81,2.93,0.89,-0.87,-0.75,-1.11,1.98,2.06,2.04
107.48,2.83,0.84,2.83,0.84,-0.91,-0.79,-1.16,1.93,1.92,1.99
108.56,2.80,0.86,2.79,0.85,-0.92,-0.83,-1.20,1.88,1.87,1.94
109.64,2.78,0.89,2.78,0.89,-0.92,-0.87,-1.25,1.86,1.86,1.89
110.74,2.76,0.92,2.76,0.92,-0.93,-0.91,-1.30,1.84,1.84,1.84
111.85,2.74,0.95,2.75,0.96,-0.95,-0.95,-1.34,1.79,1.80,1.79
112.97,2.74,1.01,2.74,1.01,-1.01,-0.99,-1.38,1.74,1.73,1.73
114.10,2.73,1.05,2.74,1.06,-1.07,-1.03,-1.43,1.67,1.67,1.68
115.24,2.73,1.11,2.73,1.11,-1.12,-1.07,-1.46,1.62,1.61,1.62
116.39,2.73,1.16,2.73,1.17,-1.16,-1.11,-1.50,1.57,1.57,1.57
117.55,2.73,1.22,2.74,1.22,-1.19,-1.15,-1.54,1.54,1.54,1.51
118.73,2.74,1.28,2.76,1.29,-1.23,-1.19,-1.57,1.51,1.53,1.46
119.92,2.74,1.33,2.74,1.33,-1.27,-1.23,-1.60,1.47,1.47,1.41
121.12,2.74,1.38,2.66,1.30,-1.32,-1.27,-1.63,1.42,1.34,1.36
122.33,2.58,1.27,2.62,1.31,-1.39,-1.31,-1.66,1.19,1.22,1.31
123.55,2.51,1.25,2.64,1.38,-1.48,-1.35,-1.68,1.04,1.16,1.26
124.79,2.78,1.57,2.71,1.50,-1.57,-1.39,-1.70,1.21,1.14,1.21
126.03,2.88,1.72,2.82,1.66,-1.67,-1.43,-1.72,1.22,1.15,1.16
127.29,2.89,1.78,2.92,1.81,-1.76,-1.47,-1.74,1.13,1.15,1.11
128.57,2.90,1.85,2.99,1.93,-1.86,-1.51,-1.76,1.05,1.13,1.05
129.85,3.06,2.06,3.03,2.03,-1.95,-1.55,-1.77,1.12,1.08,1.00
131.15,3.12,2.17,3.01,2.06,-2.01,-1.58,-1.78,1.11,1.00,0.95
132.46,2.90,2.00,2.96,2.06,-2.06,-1.62,-1.79,0.85,0.90,0.90
133.79,2.81,1.95,2.91,2.05,-2.09,-1.66,-1.79,0.73,0.82,0.86
135.12,2.90,2.09,2.87,2.06,-2.11,-1.69,-1.80,0.80,0.76,0.81
136.48,2.95,2.18,2.86,2.09,-2.12,-1.73,-1.80,0.83,0.74,0.77
137.84,2.78,2.06,2.82,2.10,-2.12,-1.76,-1.80,0.66,0.70,0.72
139.22,2.73,2.06,2.81,2.14,-2.13,-1.79,-1.80,0.61,0.69,0.67
140.61,2.80,2.17,2.81,2.17,-2.14,-1.83,-1.80,0.66,0.67,0.63
142.02,2.93,2.33,2.81,2.21,-2.16,-1.86,-1.80,0.77,0.64,0.60
143.44,2.71,2.15,2.76,2.20,-2.19,-1.89,-1.80,0.52,0.57,0.56
144.87,2.63,2.11,2.67,2.15,-2.22,-1.92,-1.80,0.42,0.46,0.52
146.32,2.63,2.15,2.63,2.15,-2.24,-1.95,-1.79,0.39,0.39,0.48
147.78,2.65,2.20,2.68,2.23,-2.26,-1.98,-1.79,0.39,0.42,0.45
149.26,2.75,2.34,2.71,2.30,-2.27,-2.01,-1.79,0.48,0.44,0.41
150.75,2.70,2.33,2.68,2.31,-2.27,-2.04,-1.78,0.44,0.41,0.37
152.26,2.61,2.28,2.62,2.29,-2.24,-2.06,-1.78,0.37,0.38,0.33
153.78,2.47,2.18,2.53,2.24,-2.20,-2.09,-1.78,0.28,0.34,0.29
155.32,2.46,2.21,2.43,2.17,-2.13,-2.12,-1.78,0.33,0.29,0.25
156.88,2.32,2.11,2.28,2.07,-2.04,-2.14,-1.78,0.28,0.23,0.21
158.44,2.06,1.89,2.09,1.92,-1.92,-2.16,-1.78,0.14,0.17,0.17
160.03,1.86,1.73,1.89,1.76,-1.79,-2.19,-1.78,0.07,0.10,0.13
161.63,1.71,1.62,1.74,1.65,-1.66,-2.21,-1.78,0.05,0.08,0.09
163.24,1.64,1.59,1.62,1.57,-1.54,-2.23,-1.78,0.10,0.08,0.05
164.88,1.53,1.51,1.48,1.46,-1.45,-2.25,-1.79,0.08,0.03,0.02
166.53,1.31,1.33,1.34,1.36,-1.39,-2.27,-1.79,-0.07,-0.05,-0.02
168.19,1.18,1.24,1.23,1.29,-1.36,-2.29,-1.80,-0.18,-0.13,-0.06
169.87,1.20,1.30,1.20,1.30,-1.37,-2.31,-1.81,-0.17,-0.18,-0.10
171.57,1.26,1.40,1.25,1.38,-1.42,-2.32,-1.82,-0.15,-0.17,-0.14
173.29,1.32,1.49,1.33,1.50,-1.49,-2.34,-1.83,-0.16,-0.16,-0.17
175.02,1.40,1.61,1.39,1.60,-1.58,-2.35,-1.85,-0.18,-0.19,-0.21
176.77,1.46,1.71,1.47,1.72,-1.69,-2.37,-1.86,-0.23,-0.23,-0.25
178.54,1.52,1.81,1.55,1.83,-1.81,-2.38,-1.88,-0.29,-0.27,-0.29
180.32,1.63,1.96,1.61,1.94,-1.93,-2.40,-1.89,-0.30,-0.32,-0.33
182.13,1.68,2.04,1.68,2.04,-2.03,-2.41,-1.91,-0.35,-0.35,-0.36
183.95,1.70,2.10,1.74,2.14,-2.12,-2.42,-1.93,-0.41,-0.37,-0.40
185.79,1.80,2.23,1.78,2.21,-2.19,-2.43,-1.96,-0.39,-0.41,-0.43
187.65,1.82,2.29,1.80,2.26,-2.26,-2.44,-1.98,-0.43,-0.46,-0.47
189.52,1.79,2.29,1.81,2.31,-2.31,-2.45,-2.00,-0.52,-0.50,-0.50
191.42,1.77,2.30,1.80,2.34,-2.35,-2.46,-2.03,-0.58,-0.55,-0.53
193.33,1.83,2.39,1.80,2.36,-2.38,-2.47,-2.06,-0.55,-0.58,-0.56
195.27,1.81,2.40,1.81,2.41,-2.40,-2.47,-2.09,-0.59,-0.59,-0.59
197.22,1.79,2.41,1.82,2.44,-2.42,-2.48,-2.12,-0.63,-0.60,-0.62
199.19,1.81,2.46,1.79,2.43,-2.43,-2.49,-2.15,-0.62,-0.64,-0.65
201.18,1.76,2.43,1.76,2.44,-2.44,-2.49,-2.18,-0.68,-0.68,-0.67
203.19,1.72,2.41,1.75,2.44,-2.44,-2.49,-2.21,-0.72,-0.69,-0.69
205.23,1.72,2.43,1.72,2.43,-2.44,-2.50,-2.24,-0.71,-0.71,-0.71
207.28,1.72,2.44,1.70,2.43,-2.42,-2.50,-2.28,-0.70,-0.72,-0.72
209.35,1.67,2.41,1.68,2.42,-2.41,-2.50,-2.31,-0.73,-0.73,-0.74
211.44,1.62,2.38,1.65,2.40,-2.39,-2.50,-2.34,-0.76,-0.74,-0.76
213.56,1.61,2.38,1.60,2.36,-2.37,-2.50,-2.37,-0.76,-0.77,-0.77
215.69,1.57,2.34,1.56,2.33,-2.35,-2.51,-2.41,-0.78,-0.79,-0.77
217.85,1.49,2.27,1.52,2.31,-2.32,-2.50,-2.44,-0.83,-0.80,-0.78
220.03,1.49,2.28,1.50,2.29,-2.29,-2.50,-2.47,-0.80,-0.79,-0.79
222.23,1.50,2.30,1.48,2.28,-2.26,-2.50,-2.50,-0.76,-0.78,-0.80
224.45,1.47,2.27,1.45,2.25,-2.23,-2.50,-2.53,-0.75,-0.78,-0.80
226.70,1.38,2.18,1.42,2.22,-2.20,-2.50,-2.55,-0.82,-0.78,-0.80
228.96,1.37,2.17,1.37,2.17,-2.19,-2.49,-2.58,-0.81,-0.81,-0.80
231.25,1.37,2.16,1.33,2.12,-2.17,-2.49,-2.60,-0.79,-0.84,-0.79
233.57,1.28,2.07,1.32,2.11,-2.14,-2.48,-2.62,-0.86,-0.82,-0.79
235.90,1.28,2.07,1.33,2.11,-2.11,-2.48,-2.63,-0.83,-0.78,-0.79
238.26,1.38,2.16,1.35,2.13,-2.08,-2.47,-2.65,-0.70,-0.73,-0.78
240.64,1.38,2.15,1.35,2.12,-2.06,-2.47,-2.66,-0.68,-0.71,-0.77
243.05,1.31,2.07,1.30,2.06,-2.05,-2.46,-2.67,-0.74,-0.75,-0.76
245.48,1.20,1.95,1.23,1.98,-2.04,-2.45,-2.67,-0.83,-0.81,-0.75
247.93,1.17,1.91,1.20,1.94,-2.02,-2.45,-2.67,-0.84,-0.81,-0.74
250.41,1.23,1.96,1.24,1.96,-1.99,-2.44,-2.67,-0.76,-0.75,-0.73
252.92,1.30,2.01,1.28,1.99,-1.95,-2.43,-2.66,-0.65,-0.67,-0.71
255.45,1.31,2.00,1.28,1.98,-1.90,-2.42,-2.65,-0.59,-0.62,-0.69
258.00,1.22,1.90,1.22,1.90,-1.84,-2.41,-2.64,-0.62,-0.62,-0.68
260.58,1.12,1.78,1.15,1.81,-1.77,-2.40,-2.62,-0.65,-0.62,-0.66
263.19,1.06,1.70,1.09,1.73,-1.70,-2.39,-2.61,-0.63,-0.60,-0.64
265.82,1.08,1.70,1.04,1.66,-1.63,-2.37,-2.58,-0.55,-0.59,-0.62
268.48,1.00,1.60,0.98,1.57,-1.60,-2.36,-2.56,-0.59,-0.62,-0.60
271.16,0.90,1.48,0.93,1.51,-1.60,-2.35,-2.53,-0.70,-0.67,-0.58
273.87,0.90,1.46,0.93,1.49,-1.65,-2.34,-2.50,-0.75,-0.72,-0.56
276.61,1.06,1.60,1.07,1.61,-1.73,-2.32,-2.47,-0.67,-0.66,-0.54
279.38,1.28,1.80,1.31,1.83,-1.84,-2.31,-2.43,-0.55,-0.53,-0.52
282.17,1.63,2.13,1.59,2.09,-1.97,-2.29,-2.39,-0.34,-0.39,-0.50
284.99,1.80,2.28,1.80,2.28,-2.15,-2.28,-2.36,-0.34,-0.34,-0.48
287.84,2.00,2.46,1.95,2.41,-2.35,-2.26,-2.32,-0.34,-0.40,-0.46
290.72,2.01,2.45,2.05,2.49,-2.56,-2.25,-2.28,-0.55,-0.51,-0.44
293.63,2.16,2.58,2.21,2.63,-2.76,-2.23,-2.24,-0.60,-0.56,-0.42
296.57,2.40,2.80,2.43,2.83,-2.94,-2.21,-2.19,-0.53,-0.51,-0.40
299.53,2.73,3.11,2.70,3.08,-3.08,-2.20,-2.15,-0.34,-0.38,-0.38
302.53,2.95,3.31,2.94,3.30,-3.19,-2.18,-2.11,-0.23,-0.24,-0.36
305.55,3.07,3.40,3.09,3.42,-3.27,-2.16,-2.07,-0.19,-0.18,-0.33
308.61,3.15,3.46,3.10,3.41,-3.31,-2.14,-2.03,-0.16,-0.21,-0.31
311.69,3.03,3.31,3.05,3.33,-3.31,-2.12,-1.99,-0.27,-0.25,-0.28
314.81,2.93,3.18,2.98,3.23,-3.25,-2.10,-1.94,-0.32,-0.27,-0.25
317.96,2.89,3.12,2.88,3.11,-3.15,-2.08,-1.90,-0.25,-0.27,-0.23
321.14,2.81,3.02,2.79,3.00,-3.01,-2.06,-1.86,-0.20,-0.22,-0.21
324.35,2.67,2.86,2.67,2.86,-2.87,-2.04,-1.83,-0.20,-0.20,-0.19
327.59,2.52,2.69,2.54,2.71,-2.74,-2.02,-1.79,-0.21,-0.20,-0.17
330.87,2.41,2.56,2.43,2.58,-2.61,-2.00,-1.75,-0.20,-0.18,-0.15
334.18,2.35,2.48,2.35,2.48,-2.50,-1.97,-1.71,-0.14,-0.15,-0.13
337.52,2.29,2.40,2.28,2.39,-2.39,-1.95,-1.68,-0.10,-0.11,-0.11
340.90,2.21,2.30,2.22,2.31,-2.30,-1.93,-1.65,-0.09,-0.08,-0.09
344.30,2.16,2.23,2.16,2.23,-2.22,-1.90,-1.61,-0.06,-0.06,-0.07
347.75,2.10,2.15,2.09,2.14,-2.15,-1.88,-1.58,-0.05,-0.06,-0.05
351.23,2.03,2.06,2.04,2.07,-2.09,-1.85,-1.55,-0.06,-0.05,-0.03
